col1,col2,col3,col4,col5,col6,col7,col8
658,95,1,2023-10-23,652,94,2,2019-11-05
659,95,2,2023-10-24,653,94,3,2019-11-06
660,95,3,2023-10-25,654,94,4,2019-11-07
661,95,4,2023-10-26,655,94,5,2019-11-08
662,95,5,2023-10-27,656,94,6,2019-11-09
663,95,6,2023-10-28,658,95,1,2019-11-11
664,96,0,2023-10-29,0,0,0,0
665,96,1,2023-10-30,484,70,2,2019-05-21
666,96,2,2023-10-31,485,70,3,2019-05-22
667,96,3,2023-11-01,486,70,4,2019-05-23
668,96,4,2023-11-02,487,70,5,2019-05-24
669,96,5,2023-11-03,488,70,6,2019-05-25
670,96,6,2023-11-04,490,71,1,2019-05-27
671,97,0,2023-11-05,0,0,0,0
672,97,1,2023-11-06,473,68,5,2019-05-10
673,97,2,2023-11-07,474,68,6,2019-05-11
674,97,3,2023-11-08,476,69,1,2019-05-13
675,97,4,2023-11-09,477,69,2,2019-05-14
676,97,5,2023-11-10,478,69,3,2019-05-15
677,97,6,2023-11-11,479,69,4,2019-05-16
678,98,0,2023-11-12,0,0,0,0
679,98,1,2023-11-13,480,69,5,2019-05-17
680,98,2,2023-11-14,481,69,6,2019-05-18
681,98,3,2023-11-15,483,70,1,2019-05-20
682,98,4,2023-11-16,659,95,2,2019-11-12
683,98,5,2023-11-17,660,95,3,2019-11-13
684,98,6,2023-11-18,336,49,1,2018-12-24
685,99,0,2023-11-19,0,0,0,0
686,99,1,2023-11-20,337,49,2,2018-12-25
687,99,2,2023-11-21,338,49,3,2018-12-26
688,99,3,2023-11-22,339,49,4,2018-12-27
689,99,4,2023-11-23,340,49,5,2018-12-28
690,99,5,2023-11-24,341,49,6,2018-12-29
691,99,6,2023-11-25,343,50,1,2018-12-31
692,100,0,2023-11-26,0,0,0,0
693,100,1,2023-11-27,344,50,2,2019-01-01
694,100,2,2023-11-28,345,50,3,2019-01-02
695,100,3,2023-11-29,346,50,4,2019-01-03
696,100,4,2023-11-30,347,50,5,2019-01-04
697,100,5,2023-12-01,348,50,6,2019-01-05
698,100,6,2023-12-02,350,51,1,2019-01-07
699,101,0,2023-12-03,0,0,0,0
700,101,1,2023-12-04,351,51,2,2019-01-08
701,101,2,2023-12-05,352,51,3,2019-01-09
702,101,3,2023-12-06,353,51,4,2019-01-10
703,101,4,2023-12-07,354,51,5,2019-01-11
704,101,5,2023-12-08,355,51,6,2019-01-12
705,101,6,2023-12-09,357,52,1,2019-01-14
706,102,0,2023-12-10,0,0,0,0
707,102,1,2023-12-11,358,52,2,2019-01-15
708,102,2,2023-12-12,686,99,1,2019-12-09
709,102,3,2023-12-13,688,99,3,2019-12-11
710,102,4,2023-12-14,690,99,5,2019-12-13
711,102,5,2023-12-15,691,99,6,2019-12-14
712,102,6,2023-12-16,693,100,1,2019-12-16
713,103,0,2023-12-17,0,0,0,0
714,103,1,2023-12-18,694,100,2,2019-12-17
715,103,2,2023-12-19,695,100,3,2019-12-18
716,103,3,2023-12-20,696,100,4,2019-12-19
717,103,4,2023-12-21,697,100,5,2019-12-20
718,103,5,2023-12-22,698,100,6,2019-12-21
719,103,6,2023-12-23,700,101,1,2019-12-23
720,104,0,2023-12-24,0,0,0,0
721,104,1,2023-12-25,701,101,2,2019-12-24
722,104,2,2023-12-26,702,101,3,2019-12-25
723,104,3,2023-12-27,703,101,4,2019-12-26
724,104,4,2023-12-28,704,101,5,2019-12-27
725,104,5,2023-12-29,705,101,6,2019-12-28
